,question_number,model_answer,correct_answer,model_reasoning
78,1.0,1.0,1.0,
79,2.0,1.0,1.0,
80,1.0,3.0,3.0,
81,2.0,4.0,4.0,
82,1.0,4.0,4.0,
83,2.0,3.0,2.0,
84,1.0,1.0,1.0,
85,1.0,4.0,1.0,
86,2.0,3.0,4.0,
87,1.0,4.0,2.0,
88,1.0,1.0,1.0,
89,1.0,2.0,1.0,
90,2.0,3.0,3.0,
91,1.0,1.0,1.0,
92,2.0,3.0,3.0,
93,1.0,4.0,4.0,
94,2.0,3.0,3.0,
95,1.0,3.0,3.0,
96,2.0,1.0,1.0,
97,1.0,4.0,4.0,
98,1.0,2.0,2.0,
99,2.0,2.0,2.0,
100,1.0,2.0,2.0,
101,2.0,2.0,2.0,
102,1.0,2.0,2.0,
103,2.0,4.0,4.0,
104,1.0,3.0,3.0,
105,2.0,2.0,2.0,
106,1.0,1.0,1.0,
107,2.0,3.0,3.0,
108,1.0,4.0,4.0,
109,2.0,2.0,2.0,
110,1.0,1.0,1.0,
111,2.0,4.0,4.0,
112,1.0,4.0,4.0,
113,2.0,2.0,2.0,
114,1.0,1.0,1.0,
115,2.0,1.0,1.0,
116,1.0,1.0,1.0,
117,1.0,2.0,1.0,
118,1.0,3.0,3.0,
119,1.0,3.0,3.0,
120,2.0,4.0,4.0,
121,1.0,4.0,4.0,
122,2.0,2.0,2.0,
123,1.0,2.0,3.0,
124,2.0,2.0,2.0,
125,1.0,4.0,4.0,
126,2.0,1.0,1.0,
127,1.0,3.0,3.0,
128,2.0,3.0,3.0,
129,1.0,1.0,1.0,
130,2.0,4.0,4.0,
131,1.0,4.0,4.0,
132,1.0,3.0,3.0,
133,2.0,3.0,1.0,
134,1.0,1.0,1.0,
135,2.0,2.0,3.0,
136,1.0,1.0,1.0,
137,2.0,2.0,2.0,
138,1.0,2.0,2.0,
139,2.0,1.0,1.0,
140,1.0,1.0,1.0,
141,2.0,4.0,4.0,
142,1.0,3.0,3.0,
143,2.0,3.0,3.0,
144,2.0,3.0,1.0,
145,1.0,3.0,3.0,
146,2.0,4.0,4.0,
147,1.0,2.0,2.0,
148,1.0,1.0,1.0,
149,1.0,4.0,3.0,
150,2.0,2.0,2.0,
151,1.0,3.0,3.0,
152,2.0,2.0,2.0,
153,1.0,1.0,1.0,
154,2.0,4.0,2.0,
155,1.0,2.0,2.0,
156,2.0,1.0,1.0,
157,1.0,1.0,1.0,
158,2.0,3.0,3.0,
159,1.0,4.0,4.0,
160,2.0,2.0,2.0,
161,1.0,3.0,3.0,
162,2.0,1.0,1.0,
163,1.0,2.0,2.0,
164,2.0,3.0,3.0,
165,1.0,1.0,1.0,
166,2.0,3.0,3.0,
167,1.0,2.0,2.0,
168,2.0,1.0,1.0,
169,1.0,3.0,3.0,
170,2.0,4.0,4.0,
171,1.0,2.0,2.0,
172,2.0,3.0,3.0,
173,1.0,4.0,1.0,
174,2.0,1.0,3.0,
175,1.0,4.0,4.0,
176,2.0,1.0,4.0,
177,1.0,2.0,4.0,
178,2.0,4.0,4.0,
179,1.0,3.0,3.0,
180,2.0,4.0,4.0,
181,1.0,3.0,3.0,
182,2.0,4.0,4.0,
183,1.0,3.0,3.0,
184,2.0,1.0,1.0,
185,1.0,3.0,4.0,
186,2.0,3.0,3.0,
187,1.0,1.0,2.0,
188,2.0,2.0,2.0,
189,1.0,3.0,1.0,
190,2.0,2.0,2.0,
191,1.0,2.0,2.0,
192,2.0,3.0,3.0,
193,1.0,4.0,4.0,
194,2.0,4.0,4.0,
195,1.0,1.0,1.0,
196,2.0,1.0,1.0,
197,1.0,4.0,4.0,
198,2.0,1.0,1.0,
199,1.0,2.0,2.0,
200,2.0,2.0,2.0,
201,1.0,2.0,2.0,
202,2.0,3.0,3.0,
203,1.0,2.0,2.0,
204,2.0,2.0,2.0,
205,1.0,3.0,3.0,
206,2.0,1.0,1.0,
207,1.0,2.0,2.0,
208,2.0,1.0,1.0,
209,1.0,4.0,4.0,
210,2.0,4.0,4.0,
211,1.0,1.0,1.0,
212,2.0,3.0,3.0,
213,1.0,1.0,1.0,
214,1.0,1.0,1.0,
215,2.0,1.0,1.0,
216,1.0,1.0,1.0,
217,2.0,3.0,3.0,
218,1.0,4.0,4.0,
219,2.0,2.0,2.0,
220,1.0,3.0,3.0,
221,2.0,3.0,3.0,
222,1.0,2.0,2.0,
223,1.0,2.0,2.0,
224,2.0,2.0,2.0,
225,1.0,2.0,2.0,
226,2.0,1.0,1.0,
227,1.0,2.0,2.0,
228,2.0,4.0,3.0,
229,1.0,4.0,4.0,
230,1.0,3.0,3.0,
231,2.0,2.0,2.0,
232,1.0,1.0,1.0,
233,2.0,2.0,2.0,
234,1.0,1.0,1.0,
235,2.0,2.0,2.0,
236,1.0,4.0,4.0,
237,2.0,4.0,4.0,
238,1.0,2.0,4.0,
239,1.0,3.0,3.0,
240,2.0,3.0,3.0,
241,1.0,3.0,3.0,
242,1.0,3.0,3.0,
243,2.0,3.0,3.0,
244,1.0,1.0,1.0,
245,2.0,2.0,2.0,
246,1.0,1.0,1.0,
247,2.0,3.0,3.0,
248,1.0,3.0,3.0,
249,2.0,1.0,1.0,
250,1.0,3.0,3.0,
251,2.0,4.0,4.0,
252,1.0,4.0,4.0,
253,2.0,1.0,1.0,
254,1.0,1.0,1.0,
255,2.0,3.0,3.0,
256,1.0,3.0,3.0,
257,1.0,1.0,1.0,
258,2.0,2.0,2.0,
259,1.0,2.0,2.0,
260,1.0,3.0,2.0,
261,2.0,2.0,2.0,
262,1.0,2.0,2.0,
263,2.0,2.0,2.0,
264,1.0,2.0,2.0,
265,2.0,1.0,1.0,
266,1.0,2.0,2.0,
267,2.0,1.0,1.0,
268,1.0,4.0,4.0,
269,2.0,3.0,3.0,
270,1.0,4.0,4.0,
271,2.0,3.0,3.0,
272,1.0,3.0,3.0,
273,2.0,4.0,4.0,
274,1.0,3.0,3.0,
275,2.0,2.0,2.0,
276,1.0,4.0,4.0,
277,2.0,4.0,1.0,
278,1.0,1.0,1.0,
279,2.0,4.0,4.0,
280,1.0,2.0,1.0,
281,2.0,2.0,2.0,
282,1.0,1.0,1.0,
283,2.0,4.0,4.0,
284,1.0,1.0,1.0,
285,2.0,2.0,2.0,
286,1.0,2.0,2.0,
287,1.0,4.0,4.0,
288,2.0,4.0,4.0,
289,1.0,3.0,3.0,
290,2.0,2.0,2.0,
291,1.0,3.0,3.0,
292,2.0,1.0,1.0,
293,1.0,1.0,1.0,
294,2.0,1.0,1.0,
295,1.0,4.0,4.0,
296,2.0,1.0,1.0,
297,1.0,2.0,2.0,
298,1.0,4.0,4.0,
299,2.0,1.0,1.0,
300,1.0,1.0,1.0,
301,2.0,4.0,4.0,
302,1.0,2.0,2.0,
303,2.0,4.0,4.0,
304,1.0,1.0,1.0,
305,2.0,4.0,4.0,
306,1.0,2.0,2.0,
307,2.0,3.0,3.0,
308,1.0,2.0,1.0,
309,2.0,3.0,3.0,
310,1.0,1.0,1.0,
311,2.0,2.0,2.0,
312,1.0,1.0,2.0,
313,2.0,4.0,4.0,
314,1.0,3.0,3.0,
315,2.0,1.0,1.0,
316,1.0,2.0,2.0,
317,2.0,3.0,3.0,
318,1.0,4.0,2.0,
319,2.0,3.0,3.0,
320,1.0,3.0,1.0,
321,2.0,2.0,2.0,
322,1.0,3.0,3.0,
323,2.0,3.0,1.0,
324,1.0,2.0,2.0,
325,1.0,4.0,4.0,
326,2.0,2.0,2.0,
327,1.0,4.0,4.0,
328,2.0,3.0,3.0,
329,1.0,2.0,2.0,
330,2.0,4.0,4.0,
331,1.0,3.0,3.0,
332,2.0,2.0,2.0,
333,1.0,3.0,3.0,
334,1.0,3.0,3.0,
335,2.0,2.0,2.0,
336,1.0,3.0,3.0,
337,2.0,4.0,2.0,
338,1.0,3.0,3.0,
339,2.0,2.0,2.0,
340,1.0,1.0,4.0,
341,2.0,2.0,2.0,
342,1.0,3.0,3.0,
343,1.0,3.0,3.0,
344,2.0,4.0,4.0,
345,1.0,4.0,4.0,
346,2.0,2.0,2.0,
347,1.0,4.0,4.0,
348,2.0,4.0,4.0,
349,1.0,2.0,2.0,
350,1.0,1.0,1.0,
351,2.0,1.0,1.0,
352,1.0,3.0,1.0,
353,2.0,3.0,3.0,
354,1.0,3.0,3.0,
355,2.0,2.0,2.0,
356,1.0,1.0,1.0,
357,2.0,2.0,2.0,
358,1.0,2.0,2.0,
359,2.0,4.0,4.0,
360,1.0,3.0,3.0,
361,2.0,2.0,2.0,
362,1.0,2.0,2.0,
363,2.0,3.0,3.0,
364,1.0,3.0,2.0,
365,2.0,2.0,3.0,
366,1.0,3.0,3.0,
367,2.0,2.0,2.0,
368,1.0,4.0,4.0,
369,2.0,2.0,2.0,
370,1.0,4.0,4.0,
371,2.0,1.0,1.0,
372,1.0,4.0,4.0,
373,2.0,3.0,2.0,
374,1.0,4.0,4.0,
375,2.0,2.0,2.0,
376,1.0,1.0,1.0,
377,2.0,3.0,3.0,
378,1.0,4.0,4.0,
379,2.0,2.0,2.0,
380,1.0,1.0,1.0,
381,2.0,2.0,2.0,
382,1.0,3.0,3.0,
383,2.0,4.0,4.0,
384,1.0,2.0,2.0,
385,2.0,1.0,1.0,
386,1.0,3.0,3.0,
387,2.0,2.0,2.0,
388,1.0,1.0,1.0,
389,2.0,1.0,1.0,
390,1.0,2.0,2.0,
391,2.0,1.0,1.0,
392,1.0,4.0,4.0,
393,2.0,1.0,1.0,
394,1.0,3.0,3.0,
395,2.0,2.0,2.0,
396,2.0,3.0,3.0,
397,1.0,4.0,4.0,
398,2.0,3.0,3.0,
399,1.0,2.0,2.0,
400,2.0,1.0,1.0,
401,1.0,2.0,2.0,
402,2.0,2.0,2.0,
403,1.0,3.0,3.0,
404,2.0,3.0,3.0,
405,1.0,4.0,4.0,
406,2.0,3.0,3.0,
407,1.0,3.0,3.0,
408,2.0,1.0,1.0,
409,1.0,1.0,1.0,
410,2.0,2.0,2.0,
411,1.0,2.0,2.0,
412,2.0,4.0,4.0,
413,1.0,1.0,1.0,
414,2.0,3.0,3.0,
415,1.0,2.0,2.0,
416,1.0,2.0,2.0,
417,2.0,1.0,1.0,
418,1.0,1.0,1.0,
419,2.0,3.0,3.0,
420,1.0,1.0,1.0,
421,2.0,1.0,4.0,
422,1.0,3.0,3.0,
423,2.0,4.0,4.0,
424,1.0,1.0,1.0,
425,2.0,4.0,4.0,
426,1.0,1.0,1.0,
427,2.0,4.0,4.0,
428,1.0,1.0,1.0,
429,2.0,3.0,3.0,
430,1.0,1.0,1.0,
431,2.0,2.0,2.0,
432,1.0,3.0,3.0,
433,2.0,1.0,1.0,
434,1.0,2.0,2.0,
435,2.0,1.0,1.0,
436,1.0,2.0,2.0,
437,2.0,3.0,3.0,
438,1.0,3.0,1.0,
439,2.0,2.0,3.0,
440,1.0,2.0,2.0,
441,2.0,1.0,1.0,
442,1.0,2.0,2.0,
443,2.0,1.0,1.0,
444,1.0,4.0,1.0,
445,1.0,2.0,2.0,
446,2.0,2.0,3.0,
447,1.0,4.0,2.0,
448,2.0,4.0,4.0,
449,1.0,4.0,4.0,
450,2.0,4.0,4.0,
451,1.0,2.0,2.0,
452,2.0,3.0,3.0,
453,1.0,2.0,2.0,
454,2.0,4.0,4.0,
455,1.0,3.0,3.0,
456,2.0,2.0,2.0,
457,1.0,4.0,4.0,
458,2.0,3.0,3.0,
459,1.0,2.0,2.0,
460,2.0,2.0,2.0,
461,1.0,1.0,1.0,
462,2.0,4.0,4.0,
463,1.0,3.0,3.0,
464,1.0,4.0,4.0,
465,2.0,1.0,1.0,
466,1.0,2.0,2.0,
467,2.0,4.0,4.0,
468,1.0,2.0,2.0,
469,2.0,1.0,1.0,
470,1.0,3.0,3.0,
471,2.0,3.0,3.0,
472,1.0,3.0,3.0,
473,2.0,1.0,1.0,
474,1.0,3.0,3.0,
475,2.0,2.0,2.0,
476,1.0,2.0,2.0,
477,2.0,2.0,2.0,
478,1.0,1.0,1.0,
479,2.0,3.0,2.0,
480,1.0,1.0,1.0,
481,2.0,3.0,3.0,
482,1.0,1.0,1.0,
483,2.0,2.0,2.0,
484,1.0,3.0,3.0,
485,2.0,3.0,3.0,
486,1.0,1.0,3.0,
487,2.0,3.0,3.0,
488,1.0,1.0,1.0,
489,2.0,4.0,4.0,
490,1.0,1.0,1.0,
491,2.0,3.0,3.0,
492,1.0,4.0,4.0,
493,2.0,2.0,2.0,
494,1.0,1.0,1.0,
495,2.0,2.0,2.0,
496,1.0,4.0,4.0,
497,2.0,1.0,1.0,
498,1.0,2.0,2.0,
499,2.0,2.0,2.0,
500,1.0,4.0,4.0,
501,2.0,2.0,2.0,
502,1.0,2.0,2.0,
503,2.0,4.0,4.0,
504,1.0,4.0,4.0,
505,2.0,4.0,4.0,
506,1.0,3.0,3.0,
507,1.0,4.0,4.0,
508,1.0,3.0,3.0,
509,2.0,2.0,2.0,
510,1.0,3.0,3.0,
511,2.0,3.0,3.0,
512,1.0,2.0,2.0,
513,1.0,4.0,4.0,
514,1.0,3.0,3.0,
515,2.0,1.0,1.0,
516,1.0,3.0,4.0,
517,2.0,2.0,2.0,
518,1.0,1.0,1.0,
519,2.0,3.0,3.0,
520,1.0,2.0,2.0,
521,2.0,3.0,3.0,
522,1.0,3.0,3.0,
523,2.0,2.0,2.0,
524,1.0,4.0,4.0,
525,2.0,2.0,2.0,
526,1.0,3.0,3.0,
527,2.0,1.0,1.0,
528,1.0,1.0,4.0,
529,2.0,3.0,3.0,
530,1.0,2.0,2.0,
531,2.0,4.0,4.0,
532,1.0,2.0,2.0,
533,2.0,3.0,3.0,
534,2.0,2.0,2.0,
535,1.0,4.0,4.0,
536,2.0,3.0,3.0,
537,1.0,1.0,1.0,
538,2.0,2.0,2.0,
539,1.0,4.0,4.0,
540,2.0,2.0,2.0,
541,1.0,2.0,2.0,
542,2.0,3.0,3.0,
543,1.0,1.0,1.0,
544,2.0,2.0,2.0,
545,1.0,4.0,4.0,
546,2.0,4.0,4.0,
547,1.0,1.0,1.0,
548,1.0,4.0,4.0,
549,2.0,2.0,2.0,
550,1.0,3.0,3.0,
551,2.0,4.0,4.0,
552,1.0,1.0,1.0,
553,2.0,4.0,4.0,
554,1.0,1.0,1.0,
555,2.0,1.0,1.0,
556,1.0,4.0,4.0,
557,2.0,2.0,2.0,
558,1.0,3.0,3.0,
559,2.0,3.0,3.0,
560,1.0,2.0,2.0,
561,2.0,3.0,3.0,
562,1.0,2.0,4.0,
563,2.0,4.0,4.0,
564,1.0,3.0,3.0,
565,2.0,1.0,1.0,
566,1.0,2.0,2.0,
567,2.0,1.0,3.0,
568,1.0,4.0,4.0,
569,2.0,1.0,1.0,
570,1.0,2.0,3.0,
571,2.0,1.0,1.0,
572,1.0,2.0,2.0,
573,2.0,2.0,2.0,
574,1.0,3.0,3.0,
575,2.0,1.0,4.0,
576,1.0,2.0,2.0,
577,1.0,3.0,3.0,
578,2.0,2.0,2.0,
579,1.0,3.0,3.0,
580,2.0,4.0,4.0,
581,1.0,3.0,3.0,
582,2.0,1.0,1.0,
583,1.0,2.0,2.0,
584,2.0,3.0,4.0,
585,1.0,4.0,4.0,
586,2.0,2.0,2.0,
587,1.0,3.0,3.0,
588,2.0,4.0,4.0,
589,1.0,2.0,2.0,
590,2.0,2.0,2.0,
591,1.0,3.0,3.0,
592,2.0,4.0,4.0,
593,1.0,2.0,2.0,
594,1.0,3.0,3.0,
595,2.0,4.0,4.0,
596,1.0,2.0,1.0,
597,1.0,1.0,3.0,
598,1.0,4.0,4.0,
599,2.0,3.0,3.0,
600,1.0,4.0,4.0,
601,2.0,1.0,1.0,
602,1.0,1.0,1.0,
603,1.0,3.0,3.0,
604,2.0,3.0,3.0,
605,1.0,1.0,1.0,
606,2.0,4.0,4.0,
607,1.0,3.0,3.0,
608,2.0,2.0,2.0,
609,1.0,4.0,4.0,
610,2.0,4.0,4.0,
611,1.0,2.0,2.0,
612,2.0,4.0,4.0,
613,1.0,1.0,1.0,
614,2.0,3.0,2.0,
615,1.0,3.0,3.0,
616,2.0,3.0,3.0,
617,1.0,4.0,4.0,
618,2.0,3.0,3.0,
619,1.0,2.0,2.0,
620,2.0,1.0,1.0,
621,1.0,3.0,1.0,
622,2.0,2.0,1.0,
623,1.0,1.0,1.0,
624,2.0,3.0,1.0,
625,1.0,3.0,3.0,
626,2.0,2.0,2.0,
627,1.0,2.0,2.0,
628,1.0,2.0,2.0,
629,2.0,2.0,2.0,
630,1.0,3.0,3.0,
631,1.0,4.0,1.0,
632,2.0,2.0,4.0,
633,1.0,2.0,2.0,
634,2.0,3.0,3.0,
635,1.0,1.0,1.0,
636,2.0,1.0,1.0,
637,1.0,1.0,1.0,
638,2.0,3.0,3.0,
639,1.0,1.0,4.0,
640,2.0,2.0,2.0,
641,1.0,3.0,3.0,
642,2.0,4.0,4.0,
643,1.0,1.0,3.0,
644,2.0,3.0,3.0,
645,1.0,3.0,1.0,
646,1.0,4.0,4.0,
647,2.0,2.0,3.0,
648,1.0,1.0,1.0,
649,2.0,3.0,2.0,
650,1.0,2.0,2.0,
651,2.0,2.0,2.0,
652,1.0,4.0,4.0,
653,2.0,1.0,1.0,
654,1.0,2.0,2.0,
655,2.0,3.0,3.0,
656,1.0,3.0,3.0,
657,2.0,3.0,3.0,
658,2.0,3.0,3.0,
659,1.0,2.0,2.0,
660,2.0,4.0,4.0,
661,1.0,3.0,3.0,
662,1.0,1.0,1.0,
663,2.0,3.0,3.0,
664,1.0,3.0,3.0,
665,2.0,4.0,4.0,
666,1.0,3.0,3.0,
667,2.0,3.0,3.0,
668,1.0,2.0,2.0,
669,2.0,4.0,4.0,
670,1.0,2.0,2.0,
671,2.0,3.0,3.0,
672,1.0,4.0,4.0,
673,2.0,2.0,2.0,
674,1.0,3.0,3.0,
675,1.0,4.0,4.0,
676,2.0,3.0,3.0,
677,1.0,2.0,2.0,
678,2.0,2.0,2.0,
679,1.0,4.0,4.0,
680,2.0,2.0,2.0,
681,1.0,3.0,3.0,
682,2.0,1.0,1.0,
683,1.0,2.0,2.0,
684,2.0,4.0,4.0,
685,1.0,3.0,3.0,
686,2.0,1.0,3.0,
687,1.0,1.0,1.0,
688,2.0,2.0,2.0,
689,1.0,3.0,3.0,
690,2.0,2.0,2.0,
691,1.0,4.0,4.0,
692,2.0,2.0,2.0,
693,1.0,1.0,3.0,
694,2.0,1.0,1.0,
695,1.0,2.0,2.0,
696,2.0,4.0,4.0,
697,1.0,3.0,3.0,
698,2.0,4.0,4.0,
699,1.0,2.0,2.0,
700,2.0,4.0,4.0,
701,1.0,3.0,3.0,
702,2.0,4.0,3.0,
703,1.0,2.0,2.0,
704,1.0,1.0,4.0,
705,2.0,1.0,1.0,
706,1.0,2.0,2.0,
707,2.0,3.0,3.0,
708,1.0,4.0,4.0,
709,2.0,3.0,3.0,
710,1.0,1.0,1.0,
711,2.0,3.0,3.0,
712,1.0,1.0,1.0,
713,2.0,3.0,3.0,
714,1.0,2.0,3.0,
715,1.0,1.0,1.0,
716,2.0,4.0,4.0,
717,1.0,2.0,3.0,
718,2.0,2.0,2.0,
719,1.0,3.0,3.0,
720,2.0,4.0,4.0,
721,1.0,3.0,3.0,
722,2.0,1.0,1.0,
723,1.0,3.0,3.0,
724,1.0,1.0,1.0,
725,2.0,1.0,1.0,
726,1.0,2.0,2.0,
727,2.0,3.0,3.0,
728,1.0,1.0,2.0,
729,2.0,2.0,1.0,
730,1.0,2.0,2.0,
731,2.0,1.0,1.0,
732,1.0,2.0,2.0,
733,2.0,1.0,1.0,
734,1.0,2.0,2.0,
735,2.0,1.0,4.0,
736,1.0,4.0,4.0,
737,2.0,4.0,4.0,
738,1.0,4.0,4.0,
739,2.0,3.0,3.0,
740,1.0,1.0,1.0,
741,2.0,4.0,2.0,
742,1.0,4.0,4.0,
743,2.0,2.0,2.0,
744,1.0,4.0,4.0,
745,2.0,2.0,2.0,
746,1.0,1.0,1.0,
747,2.0,3.0,3.0,
748,1.0,4.0,4.0,
749,2.0,1.0,1.0,
750,1.0,1.0,1.0,
751,2.0,4.0,4.0,
752,1.0,2.0,2.0,
753,2.0,3.0,3.0,
754,1.0,1.0,1.0,
755,2.0,1.0,1.0,
756,1.0,3.0,3.0,
757,2.0,2.0,2.0,
758,1.0,4.0,4.0,
759,1.0,3.0,3.0,
760,1.0,1.0,1.0,
761,2.0,1.0,1.0,
762,1.0,3.0,3.0,
763,2.0,4.0,4.0,
764,1.0,1.0,1.0,
765,2.0,1.0,1.0,
766,1.0,4.0,4.0,
767,1.0,4.0,4.0,
768,2.0,2.0,2.0,
769,1.0,1.0,1.0,
770,2.0,3.0,3.0,
771,1.0,2.0,2.0,
772,2.0,2.0,2.0,
773,1.0,2.0,2.0,
774,2.0,3.0,3.0,
775,1.0,1.0,1.0,
776,2.0,2.0,2.0,
777,1.0,3.0,3.0,
778,1.0,2.0,1.0,
779,2.0,1.0,1.0,
780,1.0,1.0,1.0,
781,2.0,1.0,2.0,
782,1.0,3.0,3.0,
783,1.0,1.0,1.0,
784,2.0,2.0,2.0,
785,1.0,2.0,2.0,
786,2.0,3.0,4.0,
787,1.0,1.0,1.0,
788,2.0,2.0,2.0,
789,2.0,1.0,1.0,
790,1.0,2.0,2.0,
791,2.0,4.0,4.0,
792,1.0,2.0,2.0,
793,2.0,3.0,3.0,
794,1.0,4.0,4.0,
795,2.0,4.0,4.0,
796,1.0,4.0,4.0,
797,1.0,3.0,3.0,
798,2.0,3.0,3.0,
799,1.0,2.0,2.0,
800,2.0,4.0,4.0,
801,1.0,1.0,4.0,
802,1.0,3.0,3.0,
803,2.0,2.0,2.0,
804,1.0,2.0,2.0,
805,2.0,4.0,4.0,
806,1.0,2.0,2.0,
807,2.0,2.0,2.0,
808,1.0,1.0,1.0,
809,2.0,2.0,4.0,
810,1.0,4.0,4.0,
811,1.0,2.0,2.0,
812,2.0,4.0,4.0,
813,1.0,2.0,2.0,
814,2.0,3.0,3.0,
815,1.0,3.0,3.0,
816,2.0,2.0,2.0,
817,1.0,4.0,2.0,
818,2.0,4.0,4.0,
819,1.0,1.0,1.0,
820,2.0,4.0,4.0,
821,1.0,2.0,2.0,
822,2.0,1.0,1.0,
823,1.0,4.0,4.0,
824,2.0,3.0,3.0,
825,1.0,1.0,1.0,
826,2.0,3.0,3.0,
827,1.0,2.0,2.0,
828,2.0,3.0,3.0,
829,1.0,3.0,3.0,
830,2.0,3.0,3.0,
831,1.0,3.0,3.0,
832,2.0,2.0,2.0,
833,1.0,3.0,3.0,
834,2.0,4.0,4.0,
835,1.0,3.0,3.0,
836,2.0,3.0,3.0,
837,1.0,2.0,2.0,
838,1.0,4.0,4.0,
839,2.0,3.0,3.0,
840,1.0,3.0,1.0,
841,2.0,1.0,1.0,
842,1.0,2.0,2.0,
843,2.0,1.0,1.0,
844,1.0,2.0,2.0,
845,2.0,2.0,2.0,
846,1.0,1.0,3.0,
847,2.0,2.0,2.0,
848,1.0,3.0,3.0,
849,2.0,1.0,2.0,
850,1.0,4.0,4.0,
851,1.0,4.0,4.0,
852,2.0,2.0,2.0,
853,1.0,4.0,4.0,
854,2.0,4.0,4.0,
855,1.0,1.0,1.0,
856,2.0,2.0,2.0,
857,1.0,3.0,2.0,
858,2.0,3.0,3.0,
859,1.0,2.0,2.0,
860,2.0,1.0,3.0,
861,1.0,3.0,3.0,
862,2.0,4.0,4.0,
863,1.0,3.0,4.0,
864,2.0,1.0,1.0,
865,1.0,3.0,3.0,
866,2.0,2.0,1.0,
867,1.0,3.0,3.0,
868,2.0,2.0,2.0,
869,1.0,1.0,3.0,
870,1.0,4.0,4.0,
871,1.0,4.0,4.0,
872,2.0,1.0,1.0,
873,1.0,4.0,4.0,
874,2.0,3.0,3.0,
875,1.0,4.0,4.0,
876,2.0,4.0,4.0,
877,1.0,2.0,2.0,
878,2.0,3.0,3.0,
879,1.0,2.0,2.0,
880,2.0,3.0,3.0,
881,1.0,2.0,2.0,
882,2.0,1.0,1.0,
883,1.0,3.0,3.0,
884,2.0,1.0,1.0,
885,1.0,2.0,2.0,
886,1.0,3.0,3.0,
887,2.0,1.0,1.0,
888,1.0,3.0,3.0,
889,1.0,1.0,1.0,
890,2.0,4.0,4.0,
891,1.0,1.0,1.0,
892,2.0,3.0,3.0,
893,1.0,1.0,1.0,
894,1.0,3.0,3.0,
895,2.0,3.0,1.0,
896,1.0,2.0,2.0,
897,2.0,3.0,2.0,
898,1.0,3.0,2.0,
899,2.0,4.0,4.0,
